ll0,ll1,D_naive,p_naive,adj0,D_adj0,p_adj0,adj1,D_adj1,p_adj1,N_A_simple,T_XY_simple,N_X_simple,N_Y_simple,N_A_complex,T_XY_complex,N_X_complex,N_Y_complex,T_X_Y_complex,p_X_Y_complex
-15.752357554963991,-0.7164858831033667,30.07174334372125,1.6837948169090566e-07,-0.1997758702136915,-6.007608695334699,1.0,0.0919916046236104,2.766347924018296,0.1735234435979918,15943.074860335328,17648.90025346607,28842.658180637427,5842.396849116637,15499.047574971197,19315.103708280945,29710.538170438074,4993.558994731247,4371.584721161922,0.0732026211276153
-15.041811746782292,-0.9981384186582702,28.087346656248044,4.559781212609693e-07,-0.161376939851023,-4.5326500519201725,1.0,0.0824632349348858,2.3161734660117634,0.2210605914120897,15466.420528956012,18084.56333791692,28549.07095345704,6198.719563639666,15028.369689814905,19962.6024781203,29136.266638628556,4992.896755049139,4527.371688969241,0.0955086328073509
-10.048411687320538,-0.6760220481723901,18.744779278296296,4.99915598486389e-05,-0.0330028410897138,-0.618630971783374,1.0,0.0793777505770367,1.487918414174211,0.3488841839735099,15386.40695856754,18703.47627967662,30222.344463180405,6472.0444932984965,14977.30143486694,20387.542916796952,30601.731015412424,5215.190497007745,4369.222815907637,0.0892755709899665
-10.128138377497248,-0.5705465430659482,19.1151836688626,4.148447846130665e-05,-0.8071990730200217,-15.429758538113347,1.0,0.0844987447802786,1.615209026263371,0.3248430559521272,15487.978847837392,18641.570117255844,28564.39865562431,6412.398671094874,15037.106767470168,20389.19616103211,29119.997552718512,5345.782531489897,4703.2902371830605,0.0840738182584361
-9.818480545030669,-0.6076624225027998,18.421636245055737,5.882793628053662e-05,0.3267529491415961,6.01932397108568,0.0317292044062984,0.0759578287046234,1.399267490360827,0.3668067344882038,15370.30017558558,18654.816968298863,30173.97369629153,6261.175235686635,14832.73697587586,20701.134003871503,30864.460407960007,5137.584127067708,5538.598662792265,0.1028816170520875
-15.725753706899043,-0.8291829738372347,29.793141466123625,1.936523180701144e-07,0.2582651537965739,7.694530262831502,0.0134384278559775,0.0771353106343347,2.298103221762124,0.2232346505273639,15532.035779677624,18768.407663078862,30081.95061158185,6230.327195680591,14995.272820988446,20957.971893759583,30612.448138492717,4968.658709905337,5810.188057835847,0.117836403495709
-18.088124214807603,-0.7366709561190858,34.70290651737704,1.6485929732468207e-08,0.2865291725774372,9.943395090456196,0.004272823595651,0.0880624224325325,3.0560220133699443,0.1487025790907894,15531.435192065008,17958.971365832942,27443.958266411213,5984.635470801718,14595.61939157506,21070.9522314154,29294.49490149985,4948.216827163968,5366.898835052733,0.1104555699348187
-20.644905853453984,-0.8681042646547381,39.55360317759849,1.4478802601303187e-09,0.2668846613888834,10.556249990763636,0.0031299734345237,0.0788983711703261,3.1207148646299565,0.1436819194477181,15767.096463221173,18498.429537752298,30444.50841251471,6362.388931276629,15081.750842729529,21178.10208089619,31570.43412808719,5024.070287989408,5402.874916522624,0.1227069843126521
-13.313728776361916,-0.411869449747561,25.803718653228707,1.4356847604091172e-06,-0.3966929321452558,-10.236152812800528,1.0,0.0810680460551961,2.091857052175269,0.2497256906969575,15457.356662798798,18212.235810228045,30254.892675337636,6047.504640931041,14957.410502559516,20115.68198667654,30933.905149031947,4942.002196749763,4900.368359325617,0.0945593176940194
-12.187999455588342,-0.8776838137887102,22.620631283599263,7.109742483635273e-06,-0.0190714324262755,-0.4314078409648578,1.0,0.0949982026079453,2.1489193137989897,0.2420762519194192,15678.329667195114,18225.48189390233,30500.80780176671,6195.765041411368,15380.45471448388,19444.600330067813,30904.87545039645,5284.606980509652,3634.138262094956,0.0611939928727966
-15.602458946633442,-0.725537241895304,29.753843409476275,1.9751026925085569e-07,-0.0842333404723147,-2.506265622270354,1.0,0.0861213744649948,2.5624418900403243,0.193563740532188,15831.932328043866,18367.909900031435,30185.222295058964,6281.289565447885,15387.95223909576,20119.61246180437,30784.185143434654,5121.406559665883,4430.533457291199,0.0874812856666307
