ll0,ll1,D_naive,p_naive,adj0,D_adj0,p_adj0,adj1,D_adj1,p_adj1,N_A_simple,T_XY_simple,N_X_simple,N_Y_simple,N_A_complex,T_XY_complex,N_X_complex,N_Y_complex,T_X_Y_complex,p_X_Y_complex
-1.8101156604298143,-1.7610386770871376,0.0981539666853539,0.8530820623680151,0.2957215861993554,0.0290262467199515,0.9251550665416636,0.128218025029403,0.0125851077571979,0.9522026100819726,15142.666554330815,20253.6098300823,29513.25963991298,4999.9580289934365,15123.11911759567,20266.48719569546,29563.00120237665,5003.773728707434,9999.99999990588,0.0010000569840294
-1.61510446372127,-1.2521236830296332,0.7259615613832735,0.5448975731032387,0.215241767478353,0.1562572495934807,0.8087357390743671,0.0801339928925675,0.0581741986001644,0.8903685884844018,15385.257092349775,20005.87476551803,30142.707389304545,5162.07518837629,15201.529135520335,20512.113630169017,30534.76391911793,5081.863231431448,9975.153632211364,0.023091541309344
-0.9073511591167472,-0.683655474782884,0.4473913686677262,0.6515673887640979,0.1009159180045939,0.0451489106764353,0.9047044452566696,0.141161509859453,0.0631544410992234,0.885247038441049,14870.315297038926,20144.547734438147,30367.52916701154,4994.684433499753,14898.915620499927,20096.87595020404,30273.64410860146,4939.88972329033,609.1588144873272,0.0013023196072296
-0.7895865555844307,-0.5515478737426815,0.4760773636834983,0.6391883527033344,-0.4730248933069412,-0.2251964441622366,1.0,0.1298561246027955,0.0618215614590547,0.8866008927455289,15032.308331818727,20023.87147574848,29640.472348369643,5068.559401783424,14944.444937373168,20245.3058761282,29831.998768199843,5009.94423109632,5104.130331558841,0.0062707024012878
-1.7639173091451932,-1.2429148976755275,1.0420048229393313,0.4506402767457904,0.2692209976798916,0.2805295780189856,0.7327411959314447,0.08299676645553,0.0864830309350316,0.8631884304392046,15201.15210906014,20858.407431405805,29614.87450161114,5132.689731645409,14977.99070898347,21486.62501893116,30052.653490826346,5023.557479222019,9999.999999997468,0.0266032748715733
-1.9394975000609809,-1.1545930176267274,1.569808964868507,0.3331990150590902,0.2555327360853585,0.401137579924174,0.6723837734923903,0.0811975210188317,0.1274645964204611,0.8296657961404519,15161.790649180088,20514.223833749045,30625.49202777807,5117.652060539894,14956.58488871259,21098.003285351697,31025.54170090789,5005.242029966657,9999.999999938476,0.0272518185444752
-0.868861289589824,-0.816265625976024,0.1051913272275999,0.8472250777330214,-3.1167467920414333,-0.3278547316872028,1.0,0.1315364091570041,0.0138364894579778,0.9497337837519004,14800.864686099858,20018.87105254832,30388.13875543292,5009.25070261615,14750.68555945467,20125.478423135395,30503.410096985663,4985.142233700823,5428.1179446773085,0.003207287258637
-1.4189263284010654,-1.348494194980144,0.1408642668418425,0.8197071549216325,0.2375421233049845,0.0334611970434111,0.9191331082145826,0.0889292810504296,0.0125269579759409,0.9523199234627568,15273.86228431506,20148.41560274898,30755.14548967232,5128.535080965938,15208.15687442148,20313.99950228339,30877.963693594,5087.056427234348,9999.999973479196,0.0102734405368807
-0.984701128653037,-0.7101637762819468,0.5490747047421805,0.6093098173353025,-0.0086188818284124,-0.0047324099951433,1.0,0.1375892513067938,0.0755467775369755,0.8731783312040413,15353.121989220124,20337.850906121075,30392.37931415546,5084.722015823977,15311.083505555314,20453.866447223696,30486.5404495676,5032.3200243928295,3584.063886631492,0.0036406954800142
-1.25248033675943,-1.0392422068713936,0.4264762597760727,0.6608433964006377,0.2521878735391177,0.1075521410678441,0.8452963370643131,0.0868452663898101,0.0370374443891829,0.9145202632508426,15402.251986625995,20351.0083081177,29762.03617057584,5060.501616625134,15278.88492300404,20694.734568445187,29999.520482442756,4986.859578715943,9999.999999932896,0.0178879754049924
-1.6035071137019423,-1.2088153956354843,0.7893834361329164,0.5240871903198923,0.1004468729190252,0.0792910976936265,0.8696952268874759,0.1413050996406067,0.1115439050974062,0.8420740051088831,15408.00001123879,21097.13563174949,31513.407096996387,5172.534641875292,15445.08238149994,21042.335384458514,31407.482308509298,5109.512580078015,787.3186055275605,0.0014819566506857
-1.8468622931168768,-1.2302462943697987,1.2332319974941557,0.4032736684574004,0.2494907171941228,0.3076799355215576,0.7182582972386011,0.0886896128573905,0.1093748684211031,0.8438189988196338,15192.914870619425,20018.61902014005,29972.411270325832,5060.359846997667,15008.214604043598,20550.152902896403,30327.43765709828,4949.496925430834,9999.999999993131,0.0276256729841169
-1.0406715169581682,-0.9816214042571526,0.1181002254020311,0.8368818405158323,0.2664766877450265,0.0314709568870743,0.9217907244219504,0.0698430259618446,0.0082484771088537,0.9617594884744162,15516.655392941868,20336.654837834416,31030.478634242667,5064.756920505115,15452.00900217836,20481.988795483787,31176.997756855988,5042.999907792129,9999.99999999999,0.0071533953175074
