T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD,T_H_N,p_H_N,p_H_WN
777653.8420530998,724142.449285586,121757.79186787998,59266.453518418304,16000.322394620494,27408.08987741528,2470.951706517126,3278.299635598437,2745.9484717864384,325.63675448164173,149.84170200801253,738.760377066794,3.841815323284776e-06,333590.77927104646,0.10852833052021726,0.014139874374477038
774083.0821812238,737802.0646254156,119597.16508216776,59893.121965610044,16194.025778724592,27318.79751739782,1603.931740141586,3387.503700805341,3062.451702170774,202.63003920695826,171.01397175434485,883.0042763530313,2.5447197585284413e-06,324428.6382037018,0.10250381372721193,0.009983081047884096
763648.832989083,723337.3426956307,120691.75565185913,59654.242737591594,16052.19593324132,27363.996759706373,2715.8054117075326,3088.6749046213217,2888.221961299971,292.9688240983609,223.64759645958583,726.722102220593,5.8366050492780396e-06,422332.1517139062,0.12105501350862295,0.010541325490449598
760014.2835911762,726322.228950417,121531.58831840822,61945.868139005186,16532.85243849081,27927.32131388703,1636.389222357317,3377.8629782398934,3097.991513383214,383.4322334424722,274.5766123405979,827.9451863530678,4.8210781423638455e-06,467113.78533104376,0.19999999999800863,0.011768003942501288
765770.144671801,746999.1403036332,121101.8399898397,60837.04184838725,16425.794254342807,26988.71209283773,1023.5339270512798,3416.7317711620162,2774.9641404625977,299.27577761482695,285.60076635191166,842.0962151367427,4.411760670723205e-06,313312.8867434304,0.0997347586910732,0.011385097297891179
761264.193060478,732200.3405999584,129371.44885262253,63125.835267856906,16392.201263083563,27948.205805004,1164.5985093474396,3558.5708359063124,3015.2833701561703,897.480531339823,367.90261448647806,953.7489401050071,3.0198775134283502e-06,455698.73568732047,0.17535925361731394,0.01534587706692684
760280.7254773626,721496.5635907534,129496.4938702432,64360.35221123486,16687.872770799775,27160.203177773292,1687.7996018139995,3260.7989641981644,2803.4690412642008,1313.709380672619,478.49233789760643,944.448201708936,3.820285856647224e-06,432852.0305024615,0.16927044869301677,0.018394223320896692
773054.5512257264,673050.5038273215,124544.63216770711,61005.19257428177,16142.673971854076,26996.084090050008,4201.055399557186,3469.088739649134,2955.616404474446,550.5102148599574,242.07884673297346,745.2651990583167,3.695617957615489e-06,471366.4586100724,0.19999999999851364,0.015234845948340224
728799.1768414048,719621.0604604058,138943.46345686572,65380.04596845696,17068.555727439296,26935.32982891507,347.8914634095877,3577.7813659356416,3132.746491337241,1835.88205454881,514.6256327265381,1143.984848502599,1.1679555626551031e-06,368691.0964309379,0.10413974683915223,0.012315768386377917
745087.1033812851,716385.5301112531,118848.27701612205,58580.17647227408,16493.22618653368,25861.285891429332,1142.50559906254,3598.225068910516,2657.47806550543,205.0671281525655,145.81737528794778,673.2815354517268,1.944295714191618e-06,264201.1925215508,0.09989731009258655,0.014276762116573607
