data_set,model,rep,ll
Bherer,model_1,66,-442.79534294204825
Bherer,model_1,67,-404.1678267250246
Bherer,model_1,68,-480.25800086867235
Bherer,model_1,69,-374.0037021616042
Bherer,model_1,70,-480.0417735678867
Bherer,model_1,71,-555.2145152821524
Bherer,model_1,72,-338.2508232388068
Bherer,model_1,73,-397.42293642467945
Bherer,model_1,74,-444.47078129366696
Bherer,model_1,75,-535.2598842128227
Bherer,model_1,76,-528.0350388772829
Bherer,model_1,77,-361.25669996846955
Bherer,model_1,78,-406.3527172625346
Bherer,model_1,79,-451.239001474707
Bherer,model_1,80,-430.3877992958617
Bherer,model_1,81,-424.48214487677126
Bherer,model_1,82,-599.3106659756993
Bherer,model_1,83,-375.87457508642467
Bherer,model_1,84,-417.88478721589604
Bherer,model_1,85,-495.94689434441835
Bherer,model_1,86,-377.9380038022416
Bherer,model_1,87,-409.4052662451004
Bherer,model_1,88,-463.2420676042221
Bherer,model_1,89,-405.0364294679253
Bherer,model_1,90,-502.0389605461031
Bherer,model_1,91,-477.27210703685887
Bherer,model_1,92,-383.3170265627982
Bherer,model_1,93,-562.7282091065067
Bherer,model_1,94,-431.8838065565506
Bherer,model_1,95,-506.5200165227319
Bherer,model_1,96,-387.7373980153693
Bherer,model_1,97,-524.5694628689714
Bherer,model_1,98,-403.85119340330493
Bherer,model_1,99,-378.17306650949405
Bherer,model_2,0,-293.0464835501507
Bherer,model_2,1,-361.34124591841476
Bherer,model_2,2,-380.8525206524389
Bherer,model_2,3,-298.17862321874406
Bherer,model_2,4,-428.8169629131264
Bherer,model_2,5,-378.44190461205847
Bherer,model_2,6,-387.9887627581212
Bherer,model_2,7,-440.07980855504104
Bherer,model_2,8,-335.11681974914603
Bherer,model_2,9,-281.7184187774841
Bherer,model_2,10,-406.6453228762869
Bherer,model_2,11,-338.05850280734046
Bherer,model_2,12,-252.5848888381184
Bherer,model_2,13,-338.63179672241887
Bherer,model_2,14,-389.69864623584584
Bherer,model_2,15,-447.3142327734182
Bherer,model_2,16,-359.3169947670243
Bherer,model_2,17,-398.8890072586687
Bherer,model_2,18,-314.2770629161646
Bherer,model_2,19,-458.0227459054094
