ll,model,T_NDH,T_ND,N_A,N_ND,N_Y,N_N,N_D,p_H_N
-24.256193022564858,null,826024.1614485241,677309.1827059344,15509.821547320238,7212.571862527518,30813.46104829867,2550.0786513048856,2950.6516079453586,
-19.54580947720997,alt,822674.5261577461,706530.0739181015,15557.782703021347,5457.067374065264,30696.413802216637,2478.5450154552927,3018.1144442578034,0.007543345167415586
