,model,T_NH,T_OOA,T_Ust,T_LosStu,p_AMH_Cha,m_StuYor,m_LosYor,N_Anc,N_N,N_AMH,N_Yor,N_OOA,N_WEUA,N_Stu,N_Ust,N_Los,T_Basal,T_Bas_Stu,p_Bas_Stu,N_BEUA
0,results/null_model_chag_Bherer_4.yaml,780284.290567092,70016.44714372906,47779.855985953815,17582.069008672992,0.07411474791251334,0.0001586600873376777,6.595321740796291e-05,15711.922239842015,2442.3232998666813,28202.670262479587,19516.765161089617,1480.3227991972963,5711.076158204979,9999.999999991607,622.4724464983009,510.2102898917472,,,,
0,results/null_model_vin_Bherer_8.yaml,807082.8573510328,64513.01854191709,48652.067592106076,19618.87287261367,0.09886881857119417,0.0001481002715165841,5.611965571858532e-05,15514.991595978156,2351.9763241606543,28394.691806425366,17706.923788837103,1037.1046531662646,5546.415195537408,9999.999999962492,766.9061557404183,612.616417723872,,,,
0,results/marg_model_chag_Bherer_0.yaml,775431.4258718666,57244.28787271639,48969.65980103054,7501.47151048954,0.07866258853083526,6.566158710707014e-06,0.004828021183750658,15925.29161380246,2373.6449150278445,29472.946868345443,13453.146636766323,456.68322400107223,,6120.337312136049,2082.7560067885074,1221.8285332739727,51980.34387609752,7501.471510482677,0.7365318653888215,
0,results/marg_model_vin_Bherer_7.yaml,814342.1248636647,57997.132022708945,48969.99788021853,7585.193456385732,0.09525092164729683,0.00018981021063531794,0.0036084126863451665,15503.010521998522,2375.9909920165474,29901.30145828807,13336.328651095711,498.4982521498333,,5839.629328098707,1819.4022400371014,1286.7976665094595,52120.885699835424,5000.000000000004,0.7336815363071185,
0,results/admix_model_chag_Bherer_3.yaml,797669.9042616263,56491.57336512813,48969.99660226816,9049.008988180749,0.07441907639175756,5.717961882490163e-08,0.0012152413266263862,15568.260230496058,2430.51463389933,30320.187744694005,13308.957153248219,411.97596806785646,1172.1095240420607,1442.0226541821935,2217.152820317344,9999.999999942525,51755.653588232875,9049.00863049482,0.7349158270376498,12893.04245503087
0,results/admix_model_vin_Bherer_5.yaml,793052.7239972934,60230.63701516631,48969.99999381483,8746.810972025598,0.09755622549582484,1.9966637053441853e-06,0.001445816291964671,15838.123506046315,2346.2948869121487,29095.189666228995,13875.023297296515,614.0736780737232,1166.1265146468647,936.221648875748,2233.334556469805,9999.99999992366,53140.749872427295,8245.904287822446,0.7378693507572062,19996.94275369613
